text,label
"সারা বছর জুড়ে ফেব্রুয়ারি মাস থাকুক তাতে কিছু যায় আসে না,, মনের মাস সবথেকে বড় মাস",1
"পুরুষ, পরাজয়ে হাসে - পুরুষ, নিজের জয়ে কাঁদে একজন পুরুষের জীবন এত সহজ নয়, একজন পুরুষকে চেনাও এত সহজ নয়! পুরুষরা কঠিন হয়...",0
রাজনৈতিক বিভক্তি অনেক সম্পর্কের মধ্যে দেয়াল তৈরি করেছে,0
"উড়ে এসে জুড়ে বসা, খুব ভয়ংকর হয়, সাজানো গোছানো সংসারটাকে শেষ করে ধ্বংস করে দিয়েছে এই শাওন",0
আগামী শুক্রবার আমাদের এখানে লজ্জার টিকা দেওয়া হবে। আপনি অবশ্যই উপস্থিত থাকবেন।,1
কি হলে রাজনৈতিক দলগুলো একে অপরের প্রতি বেশি বিশ্বাসী হবে?,0
আসলে কি পালিয়েছে নাকি মানুষের পেটে গেছে সেটাইতো চিন্তার বিষয়,0
কালো গোলাপ বাংলাদেশের কই পাওয়া যায় ঐটা বলেন আগে।,0
প্রতিটি গোলাপ নেয়ার মানুষ টা তার গোলাপ দেয়ার মানুষটার কাছে এক একটি লাল গোলাপ। সুতরাং অন্য রঙের গোলাপের কোন কদর তাদের কাছে নেই,0
"যমুনা টিভির নিউজ বেশিরভাগই ,, ফেইক হয়",1
দাদাদের দেশে সবি সম্ভব,1
নতুন পুরাতন সবাইকে নিয়ে এগিয়ে যেতে চাই,0
সে কান্না করছে ভাইরাস হয়ে ডলার ইনকামের জন্য,1
"আমি নিজেই ভুয়া ছাত্রী, পড়াশোনা করিনা খালি বাবা মায়ের টাকা নষ্ট করি",1
ক্লাস ঠিকঠাক ছিল।,0
এ ক্ষত কোনোদিন পূরণ হবার নয়,0
এটা নিয়ে মোটিভেশন দিতে অনেক মোটিভেটর কে-ই দেখা যায় এবং অনেকেই এখান থেকে মোটিভেশন-ও নিচ্ছেন,1
মারাও তাই বেশি খাচ্ছে,1
মানুষের চাইতে গাছ বড় তাহার উপর নাই,1
এইদিকে দেশের পোশাক কারখানা বন্ধ,0
এটা দিয়ে কি TikTok করা যাবে...,0
